,city,state,city_size,mode,n,percent,moe,state_abb,state_region
412,Fayetteville city,Arkansas,Small,Bike,213,0.6,0.3,AR,South
413,Federal Way city,Washington,Small,Bike,49,0.1,0.1,WA,West
414,Ferguson city,Missouri,Small,Bike,9,0.1,0.2,MO,North Central
415,Ferndale city,Michigan,Small,Bike,62,0.6,0.5,MI,North Central
416,Findlay city,Ohio,Small,Bike,155,0.8,0.5,OH,North Central
417,Fishers town,Indiana,Small,Bike,49,0.1,0.1,IN,North Central
418,Fitchburg city,Massachusetts,Small,Bike,11,0.1,0.1,MA,Northeast
419,Fitchburg city,Wisconsin,Small,Bike,119,0.9,0.6,WI,North Central
420,Flagstaff city,Arizona,Small,Bike,1713,4.9,0.8,AZ,West
421,Florence city,Alabama,Small,Bike,39,0.2,0.3,AL,South
422,Florence city,Kentucky,Small,Bike,28,0.2,0.2,KY,South
423,Florence city,South Carolina,Small,Bike,94,0.6,0.4,SC,South
424,Florence town,Arizona,Small,Bike,0,0.0,1.3,AZ,West
425,Florissant city,Missouri,Small,Bike,31,0.1,0.1,MO,North Central
426,Flower Mound town,Texas,Small,Bike,38,0.1,0.1,TX,South
427,Folsom city,California,Small,Bike,240,0.8,0.4,CA,West
428,Fond du Lac city,Wisconsin,Small,Bike,258,1.2,0.5,WI,North Central
429,Forest Grove city,Oregon,Small,Bike,72,0.8,0.8,OR,West
430,Fort Dodge city,Iowa,Small,Bike,69,0.6,0.7,IA,North Central
431,Fort Lee borough,New Jersey,Small,Bike,5,0.0,0.1,NJ,Northeast
432,Fort Myers city,Florida,Small,Bike,292,1.2,0.6,FL,South
433,Fort Pierce city,Florida,Small,Bike,41,0.3,0.3,FL,South
434,Fort Smith city,Arkansas,Small,Bike,26,0.1,0.1,AR,South
435,Fort Walton Beach city,Florida,Small,Bike,77,0.8,0.6,FL,South
436,Foster City city,California,Small,Bike,68,0.5,0.3,CA,West
437,Fountain city,Colorado,Small,Bike,34,0.3,0.3,CO,West
438,Fountain Hills town,Arizona,Small,Bike,8,0.1,0.2,AZ,West
439,Fountain Valley city,California,Small,Bike,106,0.4,0.2,CA,West
440,Frankfort city,Kentucky,Small,Bike,40,0.3,0.3,KY,South
